vd_dc, vg_dc, freq, i_ds (ac)
0.000,0.400,794.3 MHz,2.331E-8
0.000,0.400,1.000 GHz,2.935E-8
0.000,0.400,1.259 GHz,3.695E-8
0.000,0.400,1.585 GHz,4.652E-8
0.000,0.400,1.995 GHz,5.856E-8
0.000,0.400,2.512 GHz,7.372E-8
0.000,0.400,3.162 GHz,9.281E-8
0.000,0.400,3.981 GHz,1.168E-7
0.000,0.400,5.012 GHz,1.471E-7
0.000,0.400,6.310 GHz,1.852E-7
0.000,0.400,7.943 GHz,2.331E-7
0.000,0.400,10.00 GHz,2.935E-7
0.000,0.450,100.0 kHz,3.177E-12
0.000,0.450,125.9 kHz,3.943E-12
0.000,0.450,158.5 kHz,4.919E-12
0.000,0.450,199.5 kHz,6.156E-12
0.000,0.450,251.2 kHz,7.721E-12
0.000,0.450,316.2 kHz,9.697E-12
0.000,0.450,398.1 kHz,1.219E-11
0.000,0.450,501.2 kHz,1.533E-11
0.000,0.450,631.0 kHz,1.929E-11
0.000,0.450,794.3 kHz,2.427E-11
0.000,0.450,1.000 MHz,3.055E-11
0.000,0.450,1.259 MHz,3.846E-11
0.000,0.450,1.585 MHz,4.841E-11
0.000,0.450,1.995 MHz,6.094E-11
0.000,0.450,2.512 MHz,7.672E-11
0.000,0.450,3.162 MHz,9.658E-11
0.000,0.450,3.981 MHz,1.216E-10
0.000,0.450,5.012 MHz,1.531E-10
0.000,0.450,6.310 MHz,1.927E-10
0.000,0.450,7.943 MHz,2.426E-10
0.000,0.450,10.00 MHz,3.054E-10
0.000,0.450,12.59 MHz,3.845E-10
0.000,0.450,15.85 MHz,4.840E-10
0.000,0.450,19.95 MHz,6.094E-10
0.000,0.450,25.12 MHz,7.671E-10
0.000,0.450,31.62 MHz,9.658E-10
0.000,0.450,39.81 MHz,1.216E-9
0.000,0.450,50.12 MHz,1.531E-9
0.000,0.450,63.10 MHz,1.927E-9
0.000,0.450,79.43 MHz,2.426E-9
0.000,0.450,100.0 MHz,3.054E-9
0.000,0.450,125.9 MHz,3.845E-9
0.000,0.450,158.5 MHz,4.840E-9
0.000,0.450,199.5 MHz,6.094E-9
0.000,0.450,251.2 MHz,7.671E-9
0.000,0.450,316.2 MHz,9.658E-9
0.000,0.450,398.1 MHz,1.216E-8
0.000,0.450,501.2 MHz,1.531E-8
0.000,0.450,631.0 MHz,1.927E-8
0.000,0.450,794.3 MHz,2.426E-8
0.000,0.450,1.000 GHz,3.054E-8
0.000,0.450,1.259 GHz,3.845E-8
0.000,0.450,1.585 GHz,4.840E-8
0.000,0.450,1.995 GHz,6.094E-8
0.000,0.450,2.512 GHz,7.671E-8
0.000,0.450,3.162 GHz,9.658E-8
0.000,0.450,3.981 GHz,1.216E-7
0.000,0.450,5.012 GHz,1.531E-7
0.000,0.450,6.310 GHz,1.927E-7
0.000,0.450,7.943 GHz,2.426E-7
0.000,0.450,10.00 GHz,3.054E-7
0.000,0.500,100.0 kHz,3.718E-12
0.000,0.500,125.9 kHz,4.508E-12
0.000,0.500,158.5 kHz,5.534E-12
0.000,0.500,199.5 kHz,6.853E-12
0.000,0.500,251.2 kHz,8.534E-12
0.000,0.500,316.2 kHz,1.067E-11
0.000,0.500,398.1 kHz,1.337E-11
0.000,0.500,501.2 kHz,1.679E-11
0.000,0.500,631.0 kHz,2.110E-11
0.000,0.500,794.3 kHz,2.653E-11
0.000,0.500,1.000 MHz,3.338E-11
