vd_dc, vg_dc, freq, i_ds (ac)
0.700,0.550,10.00 MHz,2.395E-5
0.700,0.550,12.59 MHz,2.395E-5
0.700,0.550,15.85 MHz,2.395E-5
0.700,0.550,19.95 MHz,2.395E-5
0.700,0.550,25.12 MHz,2.395E-5
0.700,0.550,31.62 MHz,2.395E-5
0.700,0.550,39.81 MHz,2.395E-5
0.700,0.550,50.12 MHz,2.395E-5
0.700,0.550,63.10 MHz,2.395E-5
0.700,0.550,79.43 MHz,2.395E-5
0.700,0.550,100.0 MHz,2.395E-5
0.700,0.550,125.9 MHz,2.395E-5
0.700,0.550,158.5 MHz,2.395E-5
0.700,0.550,199.5 MHz,2.395E-5
0.700,0.550,251.2 MHz,2.395E-5
0.700,0.550,316.2 MHz,2.395E-5
0.700,0.550,398.1 MHz,2.395E-5
0.700,0.550,501.2 MHz,2.395E-5
0.700,0.550,631.0 MHz,2.395E-5
0.700,0.550,794.3 MHz,2.395E-5
0.700,0.550,1.000 GHz,2.395E-5
0.700,0.550,1.259 GHz,2.395E-5
0.700,0.550,1.585 GHz,2.395E-5
0.700,0.550,1.995 GHz,2.395E-5
0.700,0.550,2.512 GHz,2.395E-5
0.700,0.550,3.162 GHz,2.395E-5
0.700,0.550,3.981 GHz,2.395E-5
0.700,0.550,5.012 GHz,2.395E-5
0.700,0.550,6.310 GHz,2.395E-5
0.700,0.550,7.943 GHz,2.395E-5
0.700,0.550,10.00 GHz,2.395E-5
0.700,0.600,100.0 kHz,2.465E-5
0.700,0.600,125.9 kHz,2.465E-5
0.700,0.600,158.5 kHz,2.465E-5
0.700,0.600,199.5 kHz,2.465E-5
0.700,0.600,251.2 kHz,2.465E-5
0.700,0.600,316.2 kHz,2.465E-5
0.700,0.600,398.1 kHz,2.465E-5
0.700,0.600,501.2 kHz,2.465E-5
0.700,0.600,631.0 kHz,2.465E-5
0.700,0.600,794.3 kHz,2.465E-5
0.700,0.600,1.000 MHz,2.465E-5
0.700,0.600,1.259 MHz,2.465E-5
0.700,0.600,1.585 MHz,2.465E-5
0.700,0.600,1.995 MHz,2.465E-5
0.700,0.600,2.512 MHz,2.465E-5
0.700,0.600,3.162 MHz,2.465E-5
0.700,0.600,3.981 MHz,2.465E-5
0.700,0.600,5.012 MHz,2.465E-5
0.700,0.600,6.310 MHz,2.465E-5
0.700,0.600,7.943 MHz,2.465E-5
0.700,0.600,10.00 MHz,2.465E-5
0.700,0.600,12.59 MHz,2.465E-5
0.700,0.600,15.85 MHz,2.465E-5
0.700,0.600,19.95 MHz,2.465E-5
0.700,0.600,25.12 MHz,2.465E-5
0.700,0.600,31.62 MHz,2.465E-5
0.700,0.600,39.81 MHz,2.465E-5
0.700,0.600,50.12 MHz,2.465E-5
0.700,0.600,63.10 MHz,2.465E-5
0.700,0.600,79.43 MHz,2.465E-5
0.700,0.600,100.0 MHz,2.465E-5
0.700,0.600,125.9 MHz,2.465E-5
0.700,0.600,158.5 MHz,2.465E-5
0.700,0.600,199.5 MHz,2.465E-5
0.700,0.600,251.2 MHz,2.465E-5
0.700,0.600,316.2 MHz,2.465E-5
0.700,0.600,398.1 MHz,2.465E-5
0.700,0.600,501.2 MHz,2.465E-5
0.700,0.600,631.0 MHz,2.465E-5
0.700,0.600,794.3 MHz,2.465E-5
0.700,0.600,1.000 GHz,2.465E-5
0.700,0.600,1.259 GHz,2.465E-5
0.700,0.600,1.585 GHz,2.465E-5
0.700,0.600,1.995 GHz,2.465E-5
0.700,0.600,2.512 GHz,2.465E-5
0.700,0.600,3.162 GHz,2.465E-5
0.700,0.600,3.981 GHz,2.465E-5
0.700,0.600,5.012 GHz,2.465E-5
0.700,0.600,6.310 GHz,2.465E-5
0.700,0.600,7.943 GHz,2.465E-5
0.700,0.600,10.00 GHz,2.465E-5
0.700,0.650,100.0 kHz,2.482E-5
0.700,0.650,125.9 kHz,2.482E-5
0.700,0.650,158.5 kHz,2.482E-5
0.700,0.650,199.5 kHz,2.482E-5
0.700,0.650,251.2 kHz,2.482E-5
0.700,0.650,316.2 kHz,2.482E-5
0.700,0.650,398.1 kHz,2.482E-5
0.700,0.650,501.2 kHz,2.482E-5
0.700,0.650,631.0 kHz,2.482E-5
0.700,0.650,794.3 kHz,2.482E-5
0.700,0.650,1.000 MHz,2.482E-5
0.700,0.650,1.259 MHz,2.482E-5
0.700,0.650,1.585 MHz,2.482E-5
0.700,0.650,1.995 MHz,2.482E-5
0.700,0.650,2.512 MHz,2.482E-5
0.700,0.650,3.162 MHz,2.482E-5
0.700,0.650,3.981 MHz,2.482E-5
0.700,0.650,5.012 MHz,2.482E-5
0.700,0.650,6.310 MHz,2.482E-5
0.700,0.650,7.943 MHz,2.482E-5
0.700,0.650,10.00 MHz,2.482E-5
0.700,0.650,12.59 MHz,2.482E-5
0.700,0.650,15.85 MHz,2.482E-5
0.700,0.650,19.95 MHz,2.482E-5
0.700,0.650,25.12 MHz,2.482E-5
0.700,0.650,31.62 MHz,2.482E-5
0.700,0.650,39.81 MHz,2.482E-5
0.700,0.650,50.12 MHz,2.482E-5
0.700,0.650,63.10 MHz,2.482E-5
0.700,0.650,79.43 MHz,2.482E-5
0.700,0.650,100.0 MHz,2.482E-5
0.700,0.650,125.9 MHz,2.482E-5
0.700,0.650,158.5 MHz,2.482E-5
0.700,0.650,199.5 MHz,2.482E-5
0.700,0.650,251.2 MHz,2.482E-5
0.700,0.650,316.2 MHz,2.482E-5
0.700,0.650,398.1 MHz,2.482E-5
0.700,0.650,501.2 MHz,2.482E-5
0.700,0.650,631.0 MHz,2.482E-5
0.700,0.650,794.3 MHz,2.482E-5
0.700,0.650,1.000 GHz,2.482E-5
0.700,0.650,1.259 GHz,2.482E-5
0.700,0.650,1.585 GHz,2.482E-5
0.700,0.650,1.995 GHz,2.482E-5
0.700,0.650,2.512 GHz,2.482E-5
0.700,0.650,3.162 GHz,2.482E-5
0.700,0.650,3.981 GHz,2.482E-5
0.700,0.650,5.012 GHz,2.482E-5
0.700,0.650,6.310 GHz,2.482E-5
0.700,0.650,7.943 GHz,2.483E-5
0.700,0.650,10.00 GHz,2.483E-5
0.700,0.700,100.0 kHz,2.477E-5
0.700,0.700,125.9 kHz,2.477E-5
0.700,0.700,158.5 kHz,2.477E-5
0.700,0.700,199.5 kHz,2.477E-5
0.700,0.700,251.2 kHz,2.477E-5
0.700,0.700,316.2 kHz,2.477E-5
0.700,0.700,398.1 kHz,2.477E-5
0.700,0.700,501.2 kHz,2.477E-5
0.700,0.700,631.0 kHz,2.477E-5
0.700,0.700,794.3 kHz,2.477E-5
0.700,0.700,1.000 MHz,2.477E-5
0.700,0.700,1.259 MHz,2.477E-5
0.700,0.700,1.585 MHz,2.477E-5
0.700,0.700,1.995 MHz,2.477E-5
0.700,0.700,2.512 MHz,2.477E-5
0.700,0.700,3.162 MHz,2.477E-5
0.700,0.700,3.981 MHz,2.477E-5
0.700,0.700,5.012 MHz,2.477E-5
0.700,0.700,6.310 MHz,2.477E-5
0.700,0.700,7.943 MHz,2.477E-5
0.700,0.700,10.00 MHz,2.477E-5
0.700,0.700,12.59 MHz,2.477E-5
0.700,0.700,15.85 MHz,2.477E-5
0.700,0.700,19.95 MHz,2.477E-5
0.700,0.700,25.12 MHz,2.477E-5
0.700,0.700,31.62 MHz,2.477E-5
0.700,0.700,39.81 MHz,2.477E-5
0.700,0.700,50.12 MHz,2.477E-5
0.700,0.700,63.10 MHz,2.477E-5
0.700,0.700,79.43 MHz,2.477E-5
0.700,0.700,100.0 MHz,2.477E-5
0.700,0.700,125.9 MHz,2.477E-5
0.700,0.700,158.5 MHz,2.477E-5
0.700,0.700,199.5 MHz,2.477E-5
0.700,0.700,251.2 MHz,2.477E-5
0.700,0.700,316.2 MHz,2.477E-5
0.700,0.700,398.1 MHz,2.477E-5
0.700,0.700,501.2 MHz,2.477E-5
0.700,0.700,631.0 MHz,2.477E-5
0.700,0.700,794.3 MHz,2.477E-5
0.700,0.700,1.000 GHz,2.477E-5
0.700,0.700,1.259 GHz,2.477E-5
0.700,0.700,1.585 GHz,2.477E-5
0.700,0.700,1.995 GHz,2.477E-5
0.700,0.700,2.512 GHz,2.477E-5
0.700,0.700,3.162 GHz,2.477E-5
0.700,0.700,3.981 GHz,2.477E-5
0.700,0.700,5.012 GHz,2.477E-5
0.700,0.700,6.310 GHz,2.478E-5
0.700,0.700,7.943 GHz,2.478E-5
0.700,0.700,10.00 GHz,2.478E-5
0.700,0.750,100.0 kHz,2.464E-5
0.700,0.750,125.9 kHz,2.464E-5
0.700,0.750,158.5 kHz,2.464E-5
0.700,0.750,199.5 kHz,2.464E-5
0.700,0.750,251.2 kHz,2.464E-5
0.700,0.750,316.2 kHz,2.464E-5
0.700,0.750,398.1 kHz,2.464E-5
0.700,0.750,501.2 kHz,2.464E-5
0.700,0.750,631.0 kHz,2.464E-5
0.700,0.750,794.3 kHz,2.464E-5
0.700,0.750,1.000 MHz,2.464E-5
0.700,0.750,1.259 MHz,2.464E-5
0.700,0.750,1.585 MHz,2.464E-5
0.700,0.750,1.995 MHz,2.464E-5
0.700,0.750,2.512 MHz,2.464E-5
0.700,0.750,3.162 MHz,2.464E-5
0.700,0.750,3.981 MHz,2.464E-5
0.700,0.750,5.012 MHz,2.464E-5
0.700,0.750,6.310 MHz,2.464E-5
0.700,0.750,7.943 MHz,2.464E-5
0.700,0.750,10.00 MHz,2.464E-5
0.700,0.750,12.59 MHz,2.464E-5
0.700,0.750,15.85 MHz,2.464E-5
0.700,0.750,19.95 MHz,2.464E-5
0.700,0.750,25.12 MHz,2.464E-5
0.700,0.750,31.62 MHz,2.464E-5
0.700,0.750,39.81 MHz,2.464E-5
0.700,0.750,50.12 MHz,2.464E-5
0.700,0.750,63.10 MHz,2.464E-5
0.700,0.750,79.43 MHz,2.464E-5
0.700,0.750,100.0 MHz,2.464E-5
0.700,0.750,125.9 MHz,2.464E-5
0.700,0.750,158.5 MHz,2.464E-5
0.700,0.750,199.5 MHz,2.464E-5
0.700,0.750,251.2 MHz,2.464E-5
0.700,0.750,316.2 MHz,2.464E-5
0.700,0.750,398.1 MHz,2.464E-5
0.700,0.750,501.2 MHz,2.464E-5
0.700,0.750,631.0 MHz,2.464E-5
0.700,0.750,794.3 MHz,2.464E-5
0.700,0.750,1.000 GHz,2.464E-5
0.700,0.750,1.259 GHz,2.464E-5
0.700,0.750,1.585 GHz,2.464E-5
0.700,0.750,1.995 GHz,2.464E-5
0.700,0.750,2.512 GHz,2.464E-5
0.700,0.750,3.162 GHz,2.464E-5
0.700,0.750,3.981 GHz,2.464E-5
0.700,0.750,5.012 GHz,2.464E-5
0.700,0.750,6.310 GHz,2.464E-5
0.700,0.750,7.943 GHz,2.464E-5
0.700,0.750,10.00 GHz,2.464E-5
0.700,0.800,100.0 kHz,2.448E-5
0.700,0.800,125.9 kHz,2.448E-5
0.700,0.800,158.5 kHz,2.448E-5
0.700,0.800,199.5 kHz,2.448E-5
0.700,0.800,251.2 kHz,2.448E-5
0.700,0.800,316.2 kHz,2.448E-5
0.700,0.800,398.1 kHz,2.448E-5
0.700,0.800,501.2 kHz,2.448E-5
0.700,0.800,631.0 kHz,2.448E-5
0.700,0.800,794.3 kHz,2.448E-5
0.700,0.800,1.000 MHz,2.448E-5
0.700,0.800,1.259 MHz,2.448E-5
0.700,0.800,1.585 MHz,2.448E-5
0.700,0.800,1.995 MHz,2.448E-5
0.700,0.800,2.512 MHz,2.448E-5
0.700,0.800,3.162 MHz,2.448E-5
0.700,0.800,3.981 MHz,2.448E-5
0.700,0.800,5.012 MHz,2.448E-5
0.700,0.800,6.310 MHz,2.448E-5
0.700,0.800,7.943 MHz,2.448E-5
0.700,0.800,10.00 MHz,2.448E-5
0.700,0.800,12.59 MHz,2.448E-5
0.700,0.800,15.85 MHz,2.448E-5
0.700,0.800,19.95 MHz,2.448E-5
0.700,0.800,25.12 MHz,2.448E-5
0.700,0.800,31.62 MHz,2.448E-5
0.700,0.800,39.81 MHz,2.448E-5
0.700,0.800,50.12 MHz,2.448E-5
0.700,0.800,63.10 MHz,2.448E-5
0.700,0.800,79.43 MHz,2.448E-5
0.700,0.800,100.0 MHz,2.448E-5
0.700,0.800,125.9 MHz,2.448E-5
0.700,0.800,158.5 MHz,2.448E-5
0.700,0.800,199.5 MHz,2.448E-5
0.700,0.800,251.2 MHz,2.448E-5
0.700,0.800,316.2 MHz,2.448E-5
0.700,0.800,398.1 MHz,2.448E-5
0.700,0.800,501.2 MHz,2.448E-5
0.700,0.800,631.0 MHz,2.448E-5
0.700,0.800,794.3 MHz,2.448E-5
0.700,0.800,1.000 GHz,2.448E-5
0.700,0.800,1.259 GHz,2.448E-5
0.700,0.800,1.585 GHz,2.448E-5
0.700,0.800,1.995 GHz,2.448E-5
0.700,0.800,2.512 GHz,2.448E-5
0.700,0.800,3.162 GHz,2.448E-5
0.700,0.800,3.981 GHz,2.448E-5
0.700,0.800,5.012 GHz,2.448E-5
0.700,0.800,6.310 GHz,2.448E-5
0.700,0.800,7.943 GHz,2.448E-5
0.700,0.800,10.00 GHz,2.448E-5
0.700,0.850,100.0 kHz,2.431E-5
0.700,0.850,125.9 kHz,2.431E-5
0.700,0.850,158.5 kHz,2.431E-5
0.700,0.850,199.5 kHz,2.431E-5
0.700,0.850,251.2 kHz,2.431E-5
0.700,0.850,316.2 kHz,2.431E-5
0.700,0.850,398.1 kHz,2.431E-5
0.700,0.850,501.2 kHz,2.431E-5
0.700,0.850,631.0 kHz,2.431E-5
0.700,0.850,794.3 kHz,2.431E-5
0.700,0.850,1.000 MHz,2.431E-5
0.700,0.850,1.259 MHz,2.431E-5
0.700,0.850,1.585 MHz,2.431E-5
0.700,0.850,1.995 MHz,2.431E-5
0.700,0.850,2.512 MHz,2.431E-5
0.700,0.850,3.162 MHz,2.431E-5
0.700,0.850,3.981 MHz,2.431E-5
0.700,0.850,5.012 MHz,2.431E-5
0.700,0.850,6.310 MHz,2.431E-5
0.700,0.850,7.943 MHz,2.431E-5
0.700,0.850,10.00 MHz,2.431E-5
0.700,0.850,12.59 MHz,2.431E-5
0.700,0.850,15.85 MHz,2.431E-5
0.700,0.850,19.95 MHz,2.431E-5
0.700,0.850,25.12 MHz,2.431E-5
0.700,0.850,31.62 MHz,2.431E-5
0.700,0.850,39.81 MHz,2.431E-5
0.700,0.850,50.12 MHz,2.431E-5
0.700,0.850,63.10 MHz,2.431E-5
0.700,0.850,79.43 MHz,2.431E-5
0.700,0.850,100.0 MHz,2.431E-5
0.700,0.850,125.9 MHz,2.431E-5
0.700,0.850,158.5 MHz,2.431E-5
0.700,0.850,199.5 MHz,2.431E-5
0.700,0.850,251.2 MHz,2.431E-5
0.700,0.850,316.2 MHz,2.431E-5
0.700,0.850,398.1 MHz,2.431E-5
0.700,0.850,501.2 MHz,2.431E-5
0.700,0.850,631.0 MHz,2.431E-5
0.700,0.850,794.3 MHz,2.431E-5
0.700,0.850,1.000 GHz,2.431E-5
0.700,0.850,1.259 GHz,2.431E-5
0.700,0.850,1.585 GHz,2.431E-5
0.700,0.850,1.995 GHz,2.431E-5
0.700,0.850,2.512 GHz,2.431E-5
0.700,0.850,3.162 GHz,2.431E-5
0.700,0.850,3.981 GHz,2.431E-5
0.700,0.850,5.012 GHz,2.431E-5
0.700,0.850,6.310 GHz,2.431E-5
0.700,0.850,7.943 GHz,2.431E-5
0.700,0.850,10.00 GHz,2.432E-5
0.700,0.900,100.0 kHz,2.413E-5
0.700,0.900,125.9 kHz,2.413E-5
0.700,0.900,158.5 kHz,2.413E-5
0.700,0.900,199.5 kHz,2.413E-5
0.700,0.900,251.2 kHz,2.413E-5
0.700,0.900,316.2 kHz,2.413E-5
0.700,0.900,398.1 kHz,2.413E-5
0.700,0.900,501.2 kHz,2.413E-5
0.700,0.900,631.0 kHz,2.413E-5
0.700,0.900,794.3 kHz,2.413E-5
0.700,0.900,1.000 MHz,2.413E-5
0.700,0.900,1.259 MHz,2.413E-5
0.700,0.900,1.585 MHz,2.413E-5
0.700,0.900,1.995 MHz,2.413E-5
0.700,0.900,2.512 MHz,2.413E-5
0.700,0.900,3.162 MHz,2.413E-5
0.700,0.900,3.981 MHz,2.413E-5
0.700,0.900,5.012 MHz,2.413E-5
0.700,0.900,6.310 MHz,2.413E-5
0.700,0.900,7.943 MHz,2.413E-5
0.700,0.900,10.00 MHz,2.413E-5
0.700,0.900,12.59 MHz,2.413E-5
0.700,0.900,15.85 MHz,2.413E-5
0.700,0.900,19.95 MHz,2.413E-5
0.700,0.900,25.12 MHz,2.413E-5
0.700,0.900,31.62 MHz,2.413E-5
0.700,0.900,39.81 MHz,2.413E-5
0.700,0.900,50.12 MHz,2.413E-5
0.700,0.900,63.10 MHz,2.413E-5
0.700,0.900,79.43 MHz,2.413E-5
0.700,0.900,100.0 MHz,2.413E-5
0.700,0.900,125.9 MHz,2.413E-5
0.700,0.900,158.5 MHz,2.413E-5
0.700,0.900,199.5 MHz,2.413E-5
0.700,0.900,251.2 MHz,2.413E-5
0.700,0.900,316.2 MHz,2.413E-5
0.700,0.900,398.1 MHz,2.413E-5
0.700,0.900,501.2 MHz,2.413E-5
0.700,0.900,631.0 MHz,2.413E-5
0.700,0.900,794.3 MHz,2.413E-5
0.700,0.900,1.000 GHz,2.413E-5
0.700,0.900,1.259 GHz,2.413E-5
0.700,0.900,1.585 GHz,2.413E-5
0.700,0.900,1.995 GHz,2.413E-5
0.700,0.900,2.512 GHz,2.413E-5
0.700,0.900,3.162 GHz,2.413E-5
0.700,0.900,3.981 GHz,2.413E-5
0.700,0.900,5.012 GHz,2.413E-5
0.700,0.900,6.310 GHz,2.413E-5
0.700,0.900,7.943 GHz,2.413E-5
0.700,0.900,10.00 GHz,2.414E-5
0.750,0.000,100.0 kHz,5.979E-9
0.750,0.000,125.9 kHz,5.979E-9
0.750,0.000,158.5 kHz,5.979E-9
0.750,0.000,199.5 kHz,5.979E-9
0.750,0.000,251.2 kHz,5.979E-9
0.750,0.000,316.2 kHz,5.979E-9
0.750,0.000,398.1 kHz,5.979E-9
0.750,0.000,501.2 kHz,5.979E-9
0.750,0.000,631.0 kHz,5.979E-9
0.750,0.000,794.3 kHz,5.979E-9
0.750,0.000,1.000 MHz,5.979E-9
0.750,0.000,1.259 MHz,5.979E-9
0.750,0.000,1.585 MHz,5.979E-9
0.750,0.000,1.995 MHz,5.979E-9
0.750,0.000,2.512 MHz,5.979E-9
0.750,0.000,3.162 MHz,5.979E-9
0.750,0.000,3.981 MHz,5.980E-9
0.750,0.000,5.012 MHz,5.980E-9
0.750,0.000,6.310 MHz,5.980E-9
0.750,0.000,7.943 MHz,5.981E-9
0.750,0.000,10.00 MHz,5.981E-9
0.750,0.000,12.59 MHz,5.982E-9
0.750,0.000,15.85 MHz,5.984E-9
0.750,0.000,19.95 MHz,5.987E-9
0.750,0.000,25.12 MHz,5.992E-9
0.750,0.000,31.62 MHz,5.999E-9
0.750,0.000,39.81 MHz,6.011E-9
0.750,0.000,50.12 MHz,6.029E-9
0.750,0.000,63.10 MHz,6.058E-9
0.750,0.000,79.43 MHz,6.104E-9
0.750,0.000,100.0 MHz,6.175E-9
0.750,0.000,125.9 MHz,6.287E-9
0.750,0.000,158.5 MHz,6.460E-9
0.750,0.000,199.5 MHz,6.725E-9
0.750,0.000,251.2 MHz,7.126E-9
0.750,0.000,316.2 MHz,7.718E-9
0.750,0.000,398.1 MHz,8.573E-9
0.750,0.000,501.2 MHz,9.775E-9
0.750,0.000,631.0 MHz,1.143E-8
0.750,0.000,794.3 MHz,1.364E-8
0.750,0.000,1.000 GHz,1.655E-8
0.750,0.000,1.259 GHz,2.033E-8
0.750,0.000,1.585 GHz,2.518E-8
0.750,0.000,1.995 GHz,3.136E-8
0.750,0.000,2.512 GHz,3.922E-8
0.750,0.000,3.162 GHz,4.916E-8
0.750,0.000,3.981 GHz,6.172E-8
0.750,0.000,5.012 GHz,7.757E-8
0.750,0.000,6.310 GHz,9.754E-8
0.750,0.000,7.943 GHz,1.227E-7
0.750,0.000,10.00 GHz,1.544E-7
0.750,0.050,100.0 kHz,2.091E-8
0.750,0.050,125.9 kHz,2.091E-8
0.750,0.050,158.5 kHz,2.091E-8
0.750,0.050,199.5 kHz,2.091E-8
0.750,0.050,251.2 kHz,2.091E-8
0.750,0.050,316.2 kHz,2.091E-8
0.750,0.050,398.1 kHz,2.091E-8
0.750,0.050,501.2 kHz,2.091E-8
0.750,0.050,631.0 kHz,2.091E-8
0.750,0.050,794.3 kHz,2.091E-8
0.750,0.050,1.000 MHz,2.091E-8
0.750,0.050,1.259 MHz,2.091E-8
0.750,0.050,1.585 MHz,2.091E-8
0.750,0.050,1.995 MHz,2.091E-8
0.750,0.050,2.512 MHz,2.091E-8
0.750,0.050,3.162 MHz,2.091E-8
0.750,0.050,3.981 MHz,2.091E-8
0.750,0.050,5.012 MHz,2.091E-8
0.750,0.050,6.310 MHz,2.091E-8
0.750,0.050,7.943 MHz,2.091E-8
0.750,0.050,10.00 MHz,2.091E-8
0.750,0.050,12.59 MHz,2.091E-8
0.750,0.050,15.85 MHz,2.091E-8
0.750,0.050,19.95 MHz,2.091E-8
0.750,0.050,25.12 MHz,2.091E-8
0.750,0.050,31.62 MHz,2.091E-8
0.750,0.050,39.81 MHz,2.092E-8
0.750,0.050,50.12 MHz,2.092E-8
0.750,0.050,63.10 MHz,2.093E-8
0.750,0.050,79.43 MHz,2.094E-8
0.750,0.050,100.0 MHz,2.097E-8
0.750,0.050,125.9 MHz,2.100E-8
0.750,0.050,158.5 MHz,2.105E-8
0.750,0.050,199.5 MHz,2.114E-8
0.750,0.050,251.2 MHz,2.127E-8
0.750,0.050,316.2 MHz,2.148E-8
0.750,0.050,398.1 MHz,2.181E-8
0.750,0.050,501.2 MHz,2.231E-8
0.750,0.050,631.0 MHz,2.310E-8
0.750,0.050,794.3 MHz,2.428E-8
0.750,0.050,1.000 GHz,2.606E-8
0.750,0.050,1.259 GHz,2.864E-8
0.750,0.050,1.585 GHz,3.232E-8
0.750,0.050,1.995 GHz,3.742E-8
0.750,0.050,2.512 GHz,4.431E-8
0.750,0.050,3.162 GHz,5.344E-8
0.750,0.050,3.981 GHz,6.534E-8
0.750,0.050,5.012 GHz,8.070E-8
0.750,0.050,6.310 GHz,1.003E-7
0.750,0.050,7.943 GHz,1.253E-7
0.750,0.050,10.00 GHz,1.569E-7
0.750,0.100,100.0 kHz,7.104E-8
0.750,0.100,125.9 kHz,7.104E-8
0.750,0.100,158.5 kHz,7.104E-8
0.750,0.100,199.5 kHz,7.104E-8
0.750,0.100,251.2 kHz,7.104E-8
0.750,0.100,316.2 kHz,7.104E-8
0.750,0.100,398.1 kHz,7.104E-8
0.750,0.100,501.2 kHz,7.104E-8
0.750,0.100,631.0 kHz,7.104E-8
0.750,0.100,794.3 kHz,7.104E-8
0.750,0.100,1.000 MHz,7.104E-8
0.750,0.100,1.259 MHz,7.104E-8
0.750,0.100,1.585 MHz,7.104E-8
0.750,0.100,1.995 MHz,7.104E-8
0.750,0.100,2.512 MHz,7.104E-8
0.750,0.100,3.162 MHz,7.104E-8
0.750,0.100,3.981 MHz,7.104E-8
0.750,0.100,5.012 MHz,7.104E-8
0.750,0.100,6.310 MHz,7.104E-8
0.750,0.100,7.943 MHz,7.104E-8
0.750,0.100,10.00 MHz,7.104E-8
0.750,0.100,12.59 MHz,7.104E-8
0.750,0.100,15.85 MHz,7.104E-8
0.750,0.100,19.95 MHz,7.104E-8
0.750,0.100,25.12 MHz,7.104E-8
0.750,0.100,31.62 MHz,7.104E-8
0.750,0.100,39.81 MHz,7.104E-8
0.750,0.100,50.12 MHz,7.104E-8
0.750,0.100,63.10 MHz,7.104E-8
0.750,0.100,79.43 MHz,7.105E-8
0.750,0.100,100.0 MHz,7.105E-8
0.750,0.100,125.9 MHz,7.106E-8
0.750,0.100,158.5 MHz,7.108E-8
0.750,0.100,199.5 MHz,7.110E-8
0.750,0.100,251.2 MHz,7.114E-8
0.750,0.100,316.2 MHz,7.121E-8
0.750,0.100,398.1 MHz,7.131E-8
0.750,0.100,501.2 MHz,7.147E-8
0.750,0.100,631.0 MHz,7.172E-8
0.750,0.100,794.3 MHz,7.212E-8
0.750,0.100,1.000 GHz,7.275E-8
0.750,0.100,1.259 GHz,7.373E-8
0.750,0.100,1.585 GHz,7.526E-8
0.750,0.100,1.995 GHz,7.763E-8
0.750,0.100,2.512 GHz,8.124E-8
0.750,0.100,3.162 GHz,8.665E-8
0.750,0.100,3.981 GHz,9.460E-8
0.750,0.100,5.012 GHz,1.060E-7
0.750,0.100,6.310 GHz,1.219E-7
0.750,0.100,7.943 GHz,1.435E-7
0.750,0.100,10.00 GHz,1.722E-7
0.750,0.150,100.0 kHz,2.304E-7
0.750,0.150,125.9 kHz,2.304E-7
0.750,0.150,158.5 kHz,2.304E-7
0.750,0.150,199.5 kHz,2.304E-7
0.750,0.150,251.2 kHz,2.304E-7
0.750,0.150,316.2 kHz,2.304E-7
0.750,0.150,398.1 kHz,2.304E-7
0.750,0.150,501.2 kHz,2.304E-7
0.750,0.150,631.0 kHz,2.304E-7
0.750,0.150,794.3 kHz,2.304E-7
0.750,0.150,1.000 MHz,2.304E-7
0.750,0.150,1.259 MHz,2.304E-7
0.750,0.150,1.585 MHz,2.304E-7
0.750,0.150,1.995 MHz,2.304E-7
0.750,0.150,2.512 MHz,2.304E-7
0.750,0.150,3.162 MHz,2.304E-7
0.750,0.150,3.981 MHz,2.304E-7
0.750,0.150,5.012 MHz,2.304E-7
0.750,0.150,6.310 MHz,2.304E-7
0.750,0.150,7.943 MHz,2.304E-7
0.750,0.150,10.00 MHz,2.304E-7
0.750,0.150,12.59 MHz,2.304E-7
0.750,0.150,15.85 MHz,2.304E-7
0.750,0.150,19.95 MHz,2.304E-7
0.750,0.150,25.12 MHz,2.304E-7
0.750,0.150,31.62 MHz,2.304E-7
0.750,0.150,39.81 MHz,2.304E-7
0.750,0.150,50.12 MHz,2.304E-7
0.750,0.150,63.10 MHz,2.304E-7
0.750,0.150,79.43 MHz,2.304E-7
0.750,0.150,100.0 MHz,2.304E-7
0.750,0.150,125.9 MHz,2.304E-7
0.750,0.150,158.5 MHz,2.304E-7
0.750,0.150,199.5 MHz,2.304E-7
0.750,0.150,251.2 MHz,2.304E-7
0.750,0.150,316.2 MHz,2.304E-7
0.750,0.150,398.1 MHz,2.305E-7
0.750,0.150,501.2 MHz,2.305E-7
0.750,0.150,631.0 MHz,2.306E-7
0.750,0.150,794.3 MHz,2.307E-7
0.750,0.150,1.000 GHz,2.309E-7
0.750,0.150,1.259 GHz,2.312E-7
0.750,0.150,1.585 GHz,2.317E-7
0.750,0.150,1.995 GHz,2.325E-7
0.750,0.150,2.512 GHz,2.338E-7
0.750,0.150,3.162 GHz,2.358E-7
0.750,0.150,3.981 GHz,2.389E-7
0.750,0.150,5.012 GHz,2.437E-7
0.750,0.150,6.310 GHz,2.512E-7
0.750,0.150,7.943 GHz,2.626E-7
0.750,0.150,10.00 GHz,2.797E-7
0.750,0.200,100.0 kHz,6.962E-7
0.750,0.200,125.9 kHz,6.962E-7
0.750,0.200,158.5 kHz,6.962E-7
0.750,0.200,199.5 kHz,6.962E-7
0.750,0.200,251.2 kHz,6.962E-7
0.750,0.200,316.2 kHz,6.962E-7
0.750,0.200,398.1 kHz,6.962E-7
0.750,0.200,501.2 kHz,6.962E-7
0.750,0.200,631.0 kHz,6.962E-7
0.750,0.200,794.3 kHz,6.962E-7
0.750,0.200,1.000 MHz,6.962E-7
0.750,0.200,1.259 MHz,6.962E-7
0.750,0.200,1.585 MHz,6.962E-7
0.750,0.200,1.995 MHz,6.962E-7
0.750,0.200,2.512 MHz,6.962E-7
