freq, nonideal i, ideal i
108.099999999999994316 MHz,0.00000289330871494167 + j0.00340194451579260097 ,0.00000000000000000000 + j0.00339606165853056571 
109.099999999999994316 MHz,0.00000294727636280210 + j0.00343352541344467670 ,0.00000000000000000000 + j0.00342747758506646441 
110.099999999999994316 MHz,0.00000300174799305717 + j0.00346510937226195918 ,0.00000000000000000000 + j0.00345889351160236225 
111.099999999999994316 MHz,0.00000305672380041436 + j0.00349669642063720788 ,0.00000000000000000000 + j0.00349030943813826008 
112.099999999999994316 MHz,0.00000311220398140572 + j0.00352828658697238590 ,0.00000000000000000000 + j0.00352172536467415791 
113.099999999999994316 MHz,0.00000316818873438914 + j0.00355987989967873923 ,0.00000000000000000000 + j0.00355314129121005575 
114.099999999999994316 MHz,0.00000322467825954975 + j0.00359147638717688660 ,0.00000000000000000000 + j0.00358455721774595358 
115.099999999999994316 MHz,0.00000328167275890123 + j0.00362307607789690575 ,0.00000000000000000000 + j0.00361597314428185141 
116.099999999999994316 MHz,0.00000333917243628715 + j0.00365467900027841583 ,0.00000000000000000000 + j0.00364738907081774968 
117.099999999999994316 MHz,0.00000339717749738238 + j0.00368628518277066587 ,0.00000000000000000000 + j0.00367880499735364751 
118.099999999999994316 MHz,0.00000345568814969445 + j0.00371789465383262326 ,0.00000000000000000000 + j0.00371022092388954578 
119.099999999999994316 MHz,0.00000351470460256495 + j0.00374950744193305223 ,0.00000000000000000000 + j0.00374163685042544361 
120.099999999999994316 MHz,0.00000357422706717094 + j0.00378112357555060842 ,0.00000000000000000000 + j0.00377305277696134145 
121.099999999999994316 MHz,0.00000363425575652637 + j0.00381274308317391952 ,0.00000000000000000000 + j0.00380446870349723928 
122.099999999999994316 MHz,0.00000369479088548351 + j0.00384436599330167245 ,0.00000000000000000000 + j0.00383588463003313711 
123.099999999999994316 MHz,0.00000375583267073441 + j0.00387599233444270311 ,0.00000000000000000000 + j0.00386730055656903495 
124.099999999999994316 MHz,0.00000381738133081234 + j0.00390762213511607753 ,0.00000000000000000000 + j0.00389871648310493321 
125.099999999999994316 MHz,0.00000387943708609327 + j0.00393925542385118246 ,0.00000000000000000000 + j0.00393013240964083105 
126.099999999999994316 MHz,0.00000394200015879734 + j0.00397089222918780866 ,0.00000000000000000000 + j0.00396154833617672932 
127.099999999999994316 MHz,0.00000400507077299041 + j0.00400253257967623979 ,0.00000000000000000000 + j0.00399296426271262671 
128.099999999999994316 MHz,0.00000406864915458548 + j0.00403417650387733959 ,0.00000000000000000000 + j0.00402438018924852498 
129.099999999999994316 MHz,0.00000413273553134431 + j0.00406582403036263428 ,0.00000000000000000000 + j0.00405579611578442238 
130.099999999999994316 MHz,0.00000419733013287886 + j0.00409747518771440711 ,0.00000000000000000000 + j0.00408721204232032065 
131.099999999999994316 MHz,0.00000426243319065293 + j0.00412913000452577381 ,0.00000000000000000000 + j0.00411862796885621892 
132.099999999999994316 MHz,0.00000432804493798364 + j0.00416078850940078057 ,0.00000000000000000000 + j0.00415004389539211632 
133.099999999999994316 MHz,0.00000439416561004305 + j0.00419245073095448652 ,0.00000000000000000000 + j0.00418145982192801458 
134.099999999999994316 MHz,0.00000446079544385975 + j0.00422411669781304778 ,0.00000000000000000000 + j0.00421287574846391198 
135.099999999999994316 MHz,0.00000452793467832042 + j0.00425578643861381205 ,0.00000000000000000000 + j0.00424429167499981025 
136.099999999999994316 MHz,0.00000459558355417148 + j0.00428745998200539581 ,0.00000000000000000000 + j0.00427570760153570765 
137.099999999999994316 MHz,0.00000466374231402068 + j0.00431913735664777969 ,0.00000000000000000000 + j0.00430712352807160592 
138.099999999999994316 MHz,0.00000473241120233880 + j0.00435081859121239350 ,0.00000000000000000000 + j0.00433853945460750332 
139.099999999999994316 MHz,0.00000480159046546120 + j0.00438250371438220297 ,0.00000000000000000000 + j0.00436995538114340245 
140.099999999999994316 MHz,0.00000487128035158959 + j0.00441419275485179733 ,0.00000000000000000000 + j0.00440137130767929985 
141.099999999999994316 MHz,0.00000494148111079363 + j0.00444588574132747782 ,0.00000000000000000000 + j0.00443278723421519812 
142.099999999999994316 MHz,0.00000501219299501266 + j0.00447758270252733744 ,0.00000000000000000000 + j0.00446420316075109552 
143.099999999999994316 MHz,0.00000508341625805737 + j0.00450928366718136506 ,0.00000000000000000000 + j0.00449561908728699378 
144.099999999999994316 MHz,0.00000515515115561156 + j0.00454098866403152262 ,0.00000000000000000000 + j0.00452703501382289118 
145.099999999999994316 MHz,0.00000522739794523382 + j0.00457269772183182752 ,0.00000000000000000000 + j0.00455845094035878945 
146.099999999999994316 MHz,0.00000530015688635929 + j0.00460441086934845149 ,0.00000000000000000000 + j0.00458986686689468772 
147.099999999999994316 MHz,0.00000537342824030146 + j0.00463612813535980387 ,0.00000000000000000000 + j0.00462128279343058598 
148.099999999999994316 MHz,0.00000544721227025383 + j0.00466784954865661749 ,0.00000000000000000000 + j0.00465269871996648338 
149.099999999999994316 MHz,0.00000552150924129180 + j0.00469957513804204405 ,0.00000000000000000000 + j0.00468411464650238165 
150.099999999999994316 MHz,0.00000559631942037441 + j0.00473130493233173306 ,0.00000000000000000000 + j0.00471553057303827905 
151.099999999999994316 MHz,0.00000567164307634614 + j0.00476303896035392294 ,0.00000000000000000000 + j0.00474694649957417732 
152.099999999999994316 MHz,0.00000574748047993877 + j0.00479477725094954073 ,0.00000000000000000000 + j0.00477836242611007472 
153.099999999999994316 MHz,0.00000582383190377318 + j0.00482651983297226802 ,0.00000000000000000000 + j0.00480977835264597298 
154.099999999999994316 MHz,0.00000590069762236118 + j0.00485826673528865372 ,0.00000000000000000000 + j0.00484119427918187125 
155.099999999999994316 MHz,0.00000597807791210742 + j0.00489001798677818171 ,0.00000000000000000000 + j0.00487261020571776865 
156.099999999999994316 MHz,0.00000605597305131123 + j0.00492177361633337578 ,0.00000000000000000000 + j0.00490402613225366692 
157.099999999999994316 MHz,0.00000613438332016851 + j0.00495353365285987682 ,0.00000000000000000000 + j0.00493544205878956432 
158.099999999999994316 MHz,0.00000621330900077364 + j0.00498529812527654260 ,0.00000000000000000000 + j0.00496685798532546258 
159.099999999999994316 MHz,0.00000629275037712136 + j0.00501706706251552493 ,0.00000000000000000000 + j0.00499827391186135998 
160.099999999999994316 MHz,0.00000637270773510876 + j0.00504884049352236595 ,0.00000000000000000000 + j0.00502968983839725825 
161.099999999999994316 MHz,0.00000645318136253714 + j0.00508061844725608835 ,0.00000000000000000000 + j0.00506110576493315652 
162.099999999999994316 MHz,0.00000653417154911401 + j0.00511240095268927774 ,0.00000000000000000000 + j0.00509252169146905478 
163.099999999999994316 MHz,0.00000661567858645507 + j0.00514418803880817895 ,0.00000000000000000000 + j0.00512393761800495218 
164.099999999999994316 MHz,0.00000669770276808615 + j0.00517597973461278189 ,0.00000000000000000000 + j0.00515535354454085045 
165.099999999999994316 MHz,0.00000678024438944520 + j0.00520777606911691174 ,0.00000000000000000000 + j0.00518676947107674785 
166.099999999999994316 MHz,0.00000686330374788435 + j0.00523957707134832269 ,0.00000000000000000000 + j0.00521818539761264612 
167.099999999999994316 MHz,0.00000694688114267188 + j0.00527138277034877329 ,0.00000000000000000000 + j0.00524960132414854352 
168.099999999999994316 MHz,0.00000703097687499426 + j0.00530319319517413412 ,0.00000000000000000000 + j0.00528101725068444178 
169.099999999999994316 MHz,0.00000711559124795823 + j0.00533500837489446923 ,0.00000000000000000000 + j0.00531243317722034005 
170.099999999999994316 MHz,0.00000720072456659281 + j0.00536682833859412119 ,0.00000000000000000000 + j0.00534384910375623832 
171.099999999999994316 MHz,0.00000728637713785140 + j0.00539865311537181432 ,0.00000000000000000000 + j0.00537526503029213485 
172.099999999999994316 MHz,0.00000737254927061389 + j0.00543048273434073355 ,0.00000000000000000000 + j0.00540668095682803398 
173.099999999999994316 MHz,0.00000745924127568871 + j0.00546231722462861384 ,0.00000000000000000000 + j0.00543809688336393225 
174.099999999999994316 MHz,0.00000754645346581499 + j0.00549415661537783640 ,0.00000000000000000000 + j0.00546951280989982965 
175.099999999999994316 MHz,0.00000763418615566466 + j0.00552600093574552153 ,0.00000000000000000000 + j0.00550092873643572792 
176.099999999999994316 MHz,0.00000772243966184462 + j0.00555785021490361360 ,0.00000000000000000000 + j0.00553234466297162532 
177.099999999999994316 MHz,0.00000781121430289885 + j0.00558970448203896780 ,0.00000000000000000000 + j0.00556376058950752359 
178.099999999999994316 MHz,0.00000790051039931063 + j0.00562156376635344728 ,0.00000000000000000000 + j0.00559517651604342098 
179.099999999999994316 MHz,0.00000799032827350470 + j0.00565342809706401682 ,0.00000000000000000000 + j0.00562659244257931925 
180.099999999999994316 MHz,0.00000808066824984944 + j0.00568529750340282438 ,0.00000000000000000000 + j0.00565800836911521752 
181.099999999999994316 MHz,0.00000817153065465912 + j0.00571717201461730169 ,0.00000000000000000000 + j0.00568942429565111492 
182.099999999999994316 MHz,0.00000826291581619610 + j0.00574905165997024407 ,0.00000000000000000000 + j0.00572084022218701319 
183.099999999999994316 MHz,0.00000835482406467306 + j0.00578093646873991188 ,0.00000000000000000000 + j0.00575225614872291059 
184.099999999999994316 MHz,0.00000844725573225527 + j0.00581282647022011642 ,0.00000000000000000000 + j0.00578367207525880885 
185.099999999999994316 MHz,0.00000854021115306285 + j0.00584472169372031447 ,0.00000000000000000000 + j0.00581508800179470625 
186.099999999999994316 MHz,0.00000863369066317306 + j0.00587662216856569587 ,0.00000000000000000000 + j0.00584650392833060452 
187.099999999999994316 MHz,0.00000872769460062257 + j0.00590852792409727549 ,0.00000000000000000000 + j0.00587791985486650279 
188.099999999999994316 MHz,0.00000882222330540981 + j0.00594043898967199120 ,0.00000000000000000000 + j0.00590933578140240019 
189.099999999999994316 MHz,0.00000891727711949723 + j0.00597235539466278720 ,0.00000000000000000000 + j0.00594075170793829845 
190.099999999999994316 MHz,0.00000901285638681369 + j0.00600427716845870589 ,0.00000000000000000000 + j0.00597216763447419585 
191.099999999999994316 MHz,0.00000910896145325680 + j0.00603620434046499548 ,0.00000000000000000000 + j0.00600358356101009412 
192.099999999999994316 MHz,0.00000920559266669527 + j0.00606813694010317588 ,0.00000000000000000000 + j0.00603499948754599152 
193.099999999999994316 MHz,0.00000930275037697129 + j0.00610007499681115492 ,0.00000000000000000000 + j0.00606641541408188979 
194.099999999999994316 MHz,0.00000940043493590294 + j0.00613201854004330298 ,0.00000000000000000000 + j0.00609783134061778892 
195.099999999999994316 MHz,0.00000949864669728657 + j0.00616396759927055529 ,0.00000000000000000000 + j0.00612924726715368632 
196.099999999999994316 MHz,0.00000959738601689925 + j0.00619592220398050651 ,0.00000000000000000000 + j0.00616066319368958459 
197.099999999999994316 MHz,0.00000969665325250118 + j0.00622788238367749051 ,0.00000000000000000000 + j0.00619207912022548199 
198.099999999999994316 MHz,0.00000979644876383816 + j0.00625984816788269054 ,0.00000000000000000000 + j0.00622349504676138025 
199.099999999999994316 MHz,0.00000989677291264405 + j0.00629181958613421379 ,0.00000000000000000000 + j0.00625491097329727765 
200.099999999999994316 MHz,0.00000999762606264323 + j0.00632379666798720073 ,0.00000000000000000000 + j0.00628632689983317592 
201.099999999999994316 MHz,0.00001009900857955311 + j0.00635577944301390484 ,0.00000000000000000000 + j0.00631774282636907332 
202.099999999999994316 MHz,0.00001020092083108664 + j0.00638776794080379417 ,0.00000000000000000000 + j0.00634915875290497159 
203.099999999999994316 MHz,0.00001030336318695481 + j0.00641976219096364060 ,0.00000000000000000000 + j0.00638057467944086985 
204.099999999999994316 MHz,0.00001040633601886923 + j0.00645176222311761617 ,0.00000000000000000000 + j0.00641199060597676725 
205.099999999999994316 MHz,0.00001050983970054461 + j0.00648376806690738328 ,0.00000000000000000000 + j0.00644340653251266552 
206.099999999999994316 MHz,0.00001061387460770139 + j0.00651577975199218833 ,0.00000000000000000000 + j0.00647482245904856292 
207.099999999999994316 MHz,0.00001071844111806830 + j0.00654779730804895977 ,0.00000000000000000000 + j0.00650623838558446119 
208.099999999999994316 MHz,0.00001082353961138493 + j0.00657982076477239483 ,0.00000000000000000000 + j0.00653765431212035859 
209.099999999999994316 MHz,0.00001092917046940436 + j0.00661185015187506359 ,0.00000000000000000000 + j0.00656907023865625685 
210.099999999999994316 MHz,0.00001103533407589580 + j0.00664388549908749137 ,0.00000000000000000000 + j0.00660048616519215512 
211.099999999999994316 MHz,0.00001114203081664718 + j0.00667592683615825851 ,0.00000000000000000000 + j0.00663190209172805252 
212.099999999999994316 MHz,0.00001124926107946784 + j0.00670797419285409577 ,0.00000000000000000000 + j0.00666331801826395079 
213.099999999999994316 MHz,0.00001135702525419119 + j0.00674002759895997536 ,0.00000000000000000000 + j0.00669473394479984819 
214.099999999999994316 MHz,0.00001146532373267740 + j0.00677208708427921163 ,0.00000000000000000000 + j0.00672614987133574645 
215.099999999999994316 MHz,0.00001157415690881606 + j0.00680415267863354774 ,0.00000000000000000000 + j0.00675756579787164385 
216.099999999999994316 MHz,0.00001168352517852893 + j0.00683622441186325543 ,0.00000000000000000000 + j0.00678898172440754212 
217.099999999999994316 MHz,0.00001179342893977265 + j0.00686830231382722697 ,0.00000000000000000000 + j0.00682039765094344125 
218.099999999999994316 MHz,0.00001190386859254148 + j0.00690038641440306796 ,0.00000000000000000000 + j0.00685181357747933865 
219.099999999999994316 MHz,0.00001201484453887007 + j0.00693247674348720748 ,0.00000000000000000000 + j0.00688322950401523692 
220.099999999999994316 MHz,0.00001212635718283621 + j0.00696457333099496662 ,0.00000000000000000000 + j0.00691464543055113432 
221.099999999999994316 MHz,0.00001223840693056364 + j0.00699667620686068165 ,0.00000000000000000000 + j0.00694606135708703259 
222.099999999999994316 MHz,0.00001235099419022482 + j0.00702878540103777597 ,0.00000000000000000000 + j0.00697747728362292999 
223.099999999999994316 MHz,0.00001246411937204376 + j0.00706090094349887554 ,0.00000000000000000000 + j0.00700889321015882825 
