freq, nonideal i, ideal i
5.82209999999999983089 GHz,0.00051793331334273798 - j0.04551334967296827988 ,0.00000000000000000000 + j0.18290666588465132048 
5.82310000000000016485 GHz,0.00051766698210094653 - j0.04550164776466263800 ,0.00000000000000000000 + j0.18293808181118723089 
5.82409999999999961062 GHz,0.00051740087140358655 - j0.04548995253847400166 ,0.00000000000000000000 + j0.18296949773772314130 
5.82509999999999994458 GHz,0.00051713498099667272 - j0.04547826398839473205 ,0.00000000000000000000 + j0.18300091366425902395 
5.82610000000000027853 GHz,0.00051686931062659475 - j0.04546658210842454556 ,0.00000000000000000000 + j0.18303232959079493436 
5.82709999999999972431 GHz,0.00051660386004011663 - j0.04545490689257055544 ,0.00000000000000000000 + j0.18306374551733081701 
5.82810000000000005826 GHz,0.00051633862898437519 - j0.04544323833484712610 ,0.00000000000000000000 + j0.18309516144386672742 
5.82910000000000039222 GHz,0.00051607361720687993 - j0.04543157642927595635 ,0.00000000000000000000 + j0.18312657737040263783 
5.83009999999999983800 GHz,0.00051580882445551328 - j0.04541992116988610023 ,0.00000000000000000000 + j0.18315799329693849273 
5.83110000000000017195 GHz,0.00051554425047852675 - j0.04540827255071376578 ,0.00000000000000000000 + j0.18318940922347440314 
5.83209999999999961773 GHz,0.00051527989502454504 - j0.04539663056580260647 ,0.00000000000000000000 + j0.18322082515001031355 
5.83309999999999995168 GHz,0.00051501575784256189 - j0.04538499520920346447 ,0.00000000000000000000 + j0.18325224107654619621 
5.83410000000000028564 GHz,0.00051475183868193936 - j0.04537336647497439840 ,0.00000000000000000000 + j0.18328365700308210662 
5.83509999999999973141 GHz,0.00051448813729240922 - j0.04536174435718077352 ,0.00000000000000000000 + j0.18331507292961801703 
5.83610000000000006537 GHz,0.00051422465342407155 - j0.04535012884989519932 ,0.00000000000000000000 + j0.18334648885615389968 
5.83710000000000039933 GHz,0.00051396138682739179 - j0.04533851994719741846 ,0.00000000000000000000 + j0.18337790478268981009 
5.83809999999999984510 GHz,0.00051369833725320511 - j0.04532691764317449412 ,0.00000000000000000000 + j0.18340932070922572050 
5.83910000000000017906 GHz,0.00051343550445270988 - j0.04531532193192062963 ,0.00000000000000000000 + j0.18344073663576160316 
5.84009999999999962483 GHz,0.00051317288817747070 - j0.04530373280753720311 ,0.00000000000000000000 + j0.18347215256229751357 
5.84109999999999995879 GHz,0.00051291048817941811 - j0.04529215026413283690 ,0.00000000000000000000 + j0.18350356848883336847 
5.84210000000000029274 GHz,0.00051264830421084465 - j0.04528057429582323795 ,0.00000000000000000000 + j0.18353498441536927888 
5.84309999999999973852 GHz,0.00051238633602440804 - j0.04526900489673136435 ,0.00000000000000000000 + j0.18356640034190518929 
5.84410000000000007248 GHz,0.00051212458337312799 - j0.04525744206098723799 ,0.00000000000000000000 + j0.18359781626844107194 
5.84510000000000040643 GHz,0.00051186304601038581 - j0.04524588578272804862 ,0.00000000000000000000 + j0.18362923219497698235 
5.84609999999999985221 GHz,0.00051160172368992503 - j0.04523433605609811226 ,0.00000000000000000000 + j0.18366064812151289276 
5.84710000000000018616 GHz,0.00051134061616585032 - j0.04522279287524886421 ,0.00000000000000000000 + j0.18369206404804877542 
5.84809999999999963194 GHz,0.00051107972319262504 - j0.04521125623433883134 ,0.00000000000000000000 + j0.18372347997458468583 
5.84909999999999996589 GHz,0.00051081904452507355 - j0.04519972612753361818 ,0.00000000000000000000 + j0.18375489590112059624 
5.85010000000000029985 GHz,0.00051055857991837909 - j0.04518820254900595551 ,0.00000000000000000000 + j0.18378631182765647889 
5.85109999999999974563 GHz,0.00051029832912808130 - j0.04517668549293555463 ,0.00000000000000000000 + j0.18381772775419238930 
5.85210000000000007958 GHz,0.00051003829191007943 - j0.04516517495350930167 ,0.00000000000000000000 + j0.18384914368072829971 
5.85310000000000041354 GHz,0.00050977846802062899 - j0.04515367092492102857 ,0.00000000000000000000 + j0.18388055960726415461 
5.85409999999999985931 GHz,0.00050951885721634200 - j0.04514217340137167966 ,0.00000000000000000000 + j0.18391197553380006502 
5.85510000000000019327 GHz,0.00050925945925418554 - j0.04513068237706917285 ,0.00000000000000000000 + j0.18394339146033594767 
5.85609999999999963904 GHz,0.00050900027389148286 - j0.04511919784622848983 ,0.00000000000000000000 + j0.18397480738687185808 
5.85709999999999997300 GHz,0.00050874130088591053 - j0.04510771980307157897 ,0.00000000000000000000 + j0.18400622331340776849 
5.85810000000000030695 GHz,0.00050848253999550002 - j0.04509624824182738301 ,0.00000000000000000000 + j0.18403763923994365115 
5.85909999999999975273 GHz,0.00050822399097863469 - j0.04508478315673186687 ,0.00000000000000000000 + j0.18406905516647956156 
5.86010000000000008669 GHz,0.00050796565359405104 - j0.04507332454202788580 ,0.00000000000000000000 + j0.18410047109301547197 
5.86110000000000042064 GHz,0.00050770752760083871 - j0.04506187239196538658 ,0.00000000000000000000 + j0.18413188701955135462 
5.86209999999999986642 GHz,0.00050744961275843632 - j0.04505042670080114386 ,0.00000000000000000000 + j0.18416330294608726503 
5.86310000000000020037 GHz,0.00050719190882663476 - j0.04503898746279894061 ,0.00000000000000000000 + j0.18419471887262317544 
5.86409999999999964615 GHz,0.00050693441556557523 - j0.04502755467222949171 ,0.00000000000000000000 + j0.18422613479915903034 
5.86509999999999998010 GHz,0.00050667713273574674 - j0.04501612832337039544 ,0.00000000000000000000 + j0.18425755072569494075 
5.86610000000000031406 GHz,0.00050642006009798892 - j0.04500470841050618204 ,0.00000000000000000000 + j0.18428896665223082341 
5.86709999999999975984 GHz,0.00050616319741348802 - j0.04499329492792827900 ,0.00000000000000000000 + j0.18432038257876673382 
5.86810000000000009379 GHz,0.00050590654444377888 - j0.04498188786993499028 ,0.00000000000000000000 + j0.18435179850530264423 
5.86910000000000042775 GHz,0.00050565010095074392 - j0.04497048723083155869 ,0.00000000000000000000 + j0.18438321443183852688 
5.87009999999999987352 GHz,0.00050539386669660937 - j0.04495909300492997168 ,0.00000000000000000000 + j0.18441463035837443729 
5.87110000000000020748 GHz,0.00050513784144394958 - j0.04494770518654918334 ,0.00000000000000000000 + j0.18444604628491034770 
5.87209999999999965326 GHz,0.00050488202495568423 - j0.04493632377001498257 ,0.00000000000000000000 + j0.18447746221144623036 
5.87309999999999998721 GHz,0.00050462641699507518 - j0.04492494874965992369 ,0.00000000000000000000 + j0.18450887813798214077 
5.87410000000000032117 GHz,0.00050437101732573025 - j0.04491358011982347215 ,0.00000000000000000000 + j0.18454029406451805118 
5.87509999999999976694 GHz,0.00050411582571159986 - j0.04490221787485186578 ,0.00000000000000000000 + j0.18457170999105390607 
5.87610000000000010090 GHz,0.00050386084191697696 - j0.04489086200909814250 ,0.00000000000000000000 + j0.18460312591758981648 
5.87710000000000043485 GHz,0.00050360606570649686 - j0.04487951251692213345 ,0.00000000000000000000 + j0.18463454184412572689 
5.87809999999999988063 GHz,0.00050335149684513619 - j0.04486816939269049759 ,0.00000000000000000000 + j0.18466595777066160955 
5.87910000000000021458 GHz,0.00050309713509821222 - j0.04485683263077660382 ,0.00000000000000000000 + j0.18469737369719751996 
5.88009999999999966036 GHz,0.00050284298023138389 - j0.04484550222556067667 ,0.00000000000000000000 + j0.18472878962373340261 
5.88109999999999999432 GHz,0.00050258903201064718 - j0.04483417817142956729 ,0.00000000000000000000 + j0.18476020555026931302 
5.88210000000000032827 GHz,0.00050233529020233929 - j0.04482286046277696168 ,0.00000000000000000000 + j0.18479162147680522343 
5.88309999999999977405 GHz,0.00050208175457313632 - j0.04481154909400331815 ,0.00000000000000000000 + j0.18482303740334107833 
5.88410000000000010800 GHz,0.00050182842489004931 - j0.04480024405951567312 ,0.00000000000000000000 + j0.18485445332987701650 
5.88510000000000044196 GHz,0.00050157530092042929 - j0.04478894535372790475 ,0.00000000000000000000 + j0.18488586925641292691 
5.88609999999999988773 GHz,0.00050132238243196393 - j0.04477765297106055253 ,0.00000000000000000000 + j0.18491728518294878181 
5.88710000000000022169 GHz,0.00050106966919267462 - j0.04476636690594082424 ,0.00000000000000000000 + j0.18494870110948469222 
5.88809999999999966747 GHz,0.00050081716097092103 - j0.04475508715280264449 ,0.00000000000000000000 + j0.18498011703602060263 
5.88910000000000000142 GHz,0.00050056485753539610 - j0.04474381370608662700 ,0.00000000000000000000 + j0.18501153296255648528 
5.89010000000000033538 GHz,0.00050031275865512759 - j0.04473254656023997050 ,0.00000000000000000000 + j0.18504294888909239569 
5.89109999999999978115 GHz,0.00050006086409947652 - j0.04472128570971660444 ,0.00000000000000000000 + j0.18507436481562830610 
5.89210000000000011511 GHz,0.00049980917363813874 - j0.04471003114897710573 ,0.00000000000000000000 + j0.18510578074216418876 
5.89309999999999956088 GHz,0.00049955768704113956 - j0.04469878287248855997 ,0.00000000000000000000 + j0.18513719666870009917 
5.89409999999999989484 GHz,0.00049930640407883976 - j0.04468754087472485981 ,0.00000000000000000000 + j0.18516861259523595407 
5.89510000000000022879 GHz,0.00049905532452192852 - j0.04467630515016635800 ,0.00000000000000000000 + j0.18520002852177186448 
5.89609999999999967457 GHz,0.00049880444814142777 - j0.04466507569330008254 ,0.00000000000000000000 + j0.18523144444830780264 
5.89710000000000000853 GHz,0.00049855377470868912 - j0.04465385249861965333 ,0.00000000000000000000 + j0.18526286037484365754 
5.89810000000000034248 GHz,0.00049830330399539338 - j0.04464263556062524063 ,0.00000000000000000000 + j0.18529427630137956795 
5.89909999999999978826 GHz,0.00049805303577355104 - j0.04463142487382360662 ,0.00000000000000000000 + j0.18532569222791547836 
5.90010000000000012221 GHz,0.00049780296981550112 - j0.04462022043272811239 ,0.00000000000000000000 + j0.18535710815445136102 
5.90109999999999956799 GHz,0.00049755310589390939 - j0.04460902223185857912 ,0.00000000000000000000 + j0.18538852408098727143 
5.90209999999999990195 GHz,0.00049730344378177071 - j0.04459783026574146853 ,0.00000000000000000000 + j0.18541994000752318184 
5.90310000000000023590 GHz,0.00049705398325240562 - j0.04458664452890972324 ,0.00000000000000000000 + j0.18545135593405906449 
5.90409999999999968168 GHz,0.00049680472407946045 - j0.04457546501590280152 ,0.00000000000000000000 + j0.18548277186059497490 
5.90510000000000001563 GHz,0.00049655566603690833 - j0.04456429172126669808 ,0.00000000000000000000 + j0.18551418778713088531 
5.90610000000000034959 GHz,0.00049630680889904742 - j0.04455312463955395791 ,0.00000000000000000000 + j0.18554560371366674021 
5.90709999999999979536 GHz,0.00049605815244049855 - j0.04454196376532349594 ,0.00000000000000000000 + j0.18557701964020265062 
5.90810000000000012932 GHz,0.00049580969643620877 - j0.04453080909314083985 ,0.00000000000000000000 + j0.18560843556673853327 
5.90909999999999957510 GHz,0.00049556144066144651 - j0.04451966061757788723 ,0.00000000000000000000 + j0.18563985149327444368 
5.91009999999999990905 GHz,0.00049531338489180435 - j0.04450851833321307210 ,0.00000000000000000000 + j0.18567126741981035409 
5.91110000000000024301 GHz,0.00049506552890319722 - j0.04449738223463128861 ,0.00000000000000000000 + j0.18570268334634623675 
5.91209999999999968878 GHz,0.00049481787247186021 - j0.04448625231642381467 ,0.00000000000000000000 + j0.18573409927288214716 
5.91310000000000002274 GHz,0.00049457041537435107 - j0.04447512857318842300 ,0.00000000000000000000 + j0.18576551519941805757 
5.91410000000000035669 GHz,0.00049432315738754729 - j0.04446401099952927011 ,0.00000000000000000000 + j0.18579693112595394022 
5.91509999999999980247 GHz,0.00049407609828864575 - j0.04445289959005693098 ,0.00000000000000000000 + j0.18582834705248985063 
5.91610000000000013642 GHz,0.00049382923785516459 - j0.04444179433938842683 ,0.00000000000000000000 + j0.18585976297902576104 
5.91709999999999958220 GHz,0.00049358257586493886 - j0.04443069524214715571 ,0.00000000000000000000 + j0.18589117890556161594 
5.91809999999999991616 GHz,0.00049333611209612333 - j0.04441960229296289947 ,0.00000000000000000000 + j0.18592259483209752635 
5.91910000000000025011 GHz,0.00049308984632718883 - j0.04440851548647178904 ,0.00000000000000000000 + j0.18595401075863343676 
5.92009999999999969589 GHz,0.00049284377833692581 - j0.04439743481731639463 ,0.00000000000000000000 + j0.18598542668516931942 
5.92110000000000002984 GHz,0.00049259790790443880 - j0.04438636028014555923 ,0.00000000000000000000 + j0.18601684261170522983 
5.92210000000000036380 GHz,0.00049235223480915101 - j0.04437529186961458594 ,0.00000000000000000000 + j0.18604825853824111248 
5.92309999999999980957 GHz,0.00049210675883079840 - j0.04436422958038498815 ,0.00000000000000000000 + j0.18607967446477702289 
5.92410000000000014353 GHz,0.00049186147974943366 - j0.04435317340712469081 ,0.00000000000000000000 + j0.18611109039131293330 
5.92509999999999958931 GHz,0.00049161639734542453 - j0.04434212334450796100 ,0.00000000000000000000 + j0.18614250631784881596 
5.92609999999999992326 GHz,0.00049137151139944969 - j0.04433107938721528307 ,0.00000000000000000000 + j0.18617392224438472637 
5.92710000000000025722 GHz,0.00049112682169250499 - j0.04432004152993353902 ,0.00000000000000000000 + j0.18620533817092063678 
5.92809999999999970299 GHz,0.00049088232800589642 - j0.04430900976735586277 ,0.00000000000000000000 + j0.18623675409745649167 
5.92910000000000003695 GHz,0.00049063803012124279 - j0.04429798409418164717 ,0.00000000000000000000 + j0.18626817002399240208 
5.93010000000000037090 GHz,0.00049039392782047539 - j0.04428696450511660637 ,0.00000000000000000000 + j0.18629958595052831249 
5.93109999999999981668 GHz,0.00049015002088583577 - j0.04427595099487269953 ,0.00000000000000000000 + j0.18633100187706419515 
5.93210000000000015064 GHz,0.00048990630909987636 - j0.04426494355816812387 ,0.00000000000000000000 + j0.18636241780360010556 
5.93309999999999959641 GHz,0.00048966279224546007 - j0.04425394218972736327 ,0.00000000000000000000 + j0.18639383373013601597 
5.93409999999999993037 GHz,0.00048941947010575917 - j0.04424294688428109801 ,0.00000000000000000000 + j0.18642524965667189862 
5.93510000000000026432 GHz,0.00048917634246425446 - j0.04423195763656624646 ,0.00000000000000000000 + j0.18645666558320780903 
5.93609999999999971010 GHz,0.00048893340910473619 - j0.04422097444132597893 ,0.00000000000000000000 + j0.18648808150974369169 
5.93710000000000004405 GHz,0.00048869066981130078 - j0.04420999729330959971 ,0.00000000000000000000 + j0.18651949743627960210 
5.93810000000000037801 GHz,0.00048844812436835432 - j0.04419902618727270666 ,0.00000000000000000000 + j0.18655091336281551251 
5.93909999999999982379 GHz,0.00048820577256060839 - j0.04418806111797701081 ,0.00000000000000000000 + j0.18658232928935136741 
5.94010000000000015774 GHz,0.00048796361417308083 - j0.04417710208019043350 ,0.00000000000000000000 + j0.18661374521588727782 
5.94109999999999960352 GHz,0.00048772164899109615 - j0.04416614906868709250 ,0.00000000000000000000 + j0.18664516114242318823 
5.94209999999999993747 GHz,0.00048747987680028404 - j0.04415520207824725346 ,0.00000000000000000000 + j0.18667657706895907088 
5.94310000000000027143 GHz,0.00048723829738657709 - j0.04414426110365726741 ,0.00000000000000000000 + j0.18670799299549498129 
5.94409999999999971720 GHz,0.00048699691053621512 - j0.04413332613970975121 ,0.00000000000000000000 + j0.18673940892203089170 
5.94510000000000005116 GHz,0.00048675571603573896 - j0.04412239718120335857 ,0.00000000000000000000 + j0.18677082484856677436 
5.94610000000000038511 GHz,0.00048651471367199472 - j0.04411147422294293963 ,0.00000000000000000000 + j0.18680224077510268477 
5.94709999999999983089 GHz,0.00048627390323212924 - j0.04410055725973938134 ,0.00000000000000000000 + j0.18683365670163859518 
5.94810000000000016485 GHz,0.00048603328450359318 - j0.04408964628640978101 ,0.00000000000000000000 + j0.18686507262817447783 
5.94909999999999961062 GHz,0.00048579285727413788 - j0.04407874129777724498 ,0.00000000000000000000 + j0.18689648855471038824 
5.95009999999999994458 GHz,0.00048555262133181596 - j0.04406784228867101361 ,0.00000000000000000000 + j0.18692790448124624314 
5.95110000000000027853 GHz,0.00048531257646498019 - j0.04405694925392640571 ,0.00000000000000000000 + j0.18695932040778215355 
5.95209999999999972431 GHz,0.00048507272246228370 - j0.04404606218838476306 ,0.00000000000000000000 + j0.18699073633431806396 
5.95310000000000005826 GHz,0.00048483305911268008 - j0.04403518108689359611 ,0.00000000000000000000 + j0.18702215226085394661 
5.95410000000000039222 GHz,0.00048459358620542064 - j0.04402430594430639665 ,0.00000000000000000000 + j0.18705356818738985702 
5.95509999999999983800 GHz,0.00048435430353005503 - j0.04401343675548266554 ,0.00000000000000000000 + j0.18708498411392576743 
5.95610000000000017195 GHz,0.00048411521087643222 - j0.04400257351528802374 ,0.00000000000000000000 + j0.18711640004046165009 
5.95709999999999961773 GHz,0.00048387630803469730 - j0.04399171621859406661 ,0.00000000000000000000 + j0.18714781596699756050 
5.95809999999999995168 GHz,0.00048363759479529335 - j0.04398086486027842634 ,0.00000000000000000000 + j0.18717923189353347091 
5.95910000000000028564 GHz,0.00048339907094895946 - j0.04397001943522476503 ,0.00000000000000000000 + j0.18721064782006935356 
5.96009999999999973141 GHz,0.00048316073628673026 - j0.04395917993832268444 ,0.00000000000000000000 + j0.18724206374660526397 
5.96110000000000006537 GHz,0.00048292259059993598 - j0.04394834636446782322 ,0.00000000000000000000 + j0.18727347967314117438 
5.96210000000000039933 GHz,0.00048268463368020227 - j0.04393751870856180131 ,0.00000000000000000000 + j0.18730489559967702928 
5.96309999999999984510 GHz,0.00048244686531944873 - j0.04392669696551219222 ,0.00000000000000000000 + j0.18733631152621293969 
5.96410000000000017906 GHz,0.00048220928530988931 - j0.04391588113023258549 ,0.00000000000000000000 + j0.18736772745274882235 
5.96509999999999962483 GHz,0.00048197189344403033 - j0.04390507119764244098 ,0.00000000000000000000 + j0.18739914337928473276 
5.96609999999999995879 GHz,0.00048173468951467218 - j0.04389426716266722761 ,0.00000000000000000000 + j0.18743055930582064317 
5.96710000000000029274 GHz,0.00048149767331490698 - j0.04388346902023836094 ,0.00000000000000000000 + j0.18746197523235652582 
5.96809999999999973852 GHz,0.00048126084463811868 - j0.04387267676529314764 ,0.00000000000000000000 + j0.18749339115889243623 
5.96910000000000007248 GHz,0.00048102420327798281 - j0.04386189039277482021 ,0.00000000000000000000 + j0.18752480708542834664 
5.97010000000000040643 GHz,0.00048078774902846652 - j0.04385110989763257860 ,0.00000000000000000000 + j0.18755622301196420154 
5.97109999999999985221 GHz,0.00048055148168382533 - j0.04384033527482143755 ,0.00000000000000000000 + j0.18758763893850013971 
5.97210000000000018616 GHz,0.00048031540103860666 - j0.04382956651930237230 ,0.00000000000000000000 + j0.18761905486503605012 
5.97309999999999963194 GHz,0.00048007950688764672 - j0.04381880362604224921 ,0.00000000000000000000 + j0.18765047079157190502 
5.97409999999999996589 GHz,0.00047984379902606952 - j0.04380804659001373558 ,0.00000000000000000000 + j0.18768188671810781543 
5.97510000000000029985 GHz,0.00047960827724928898 - j0.04379729540619545919 ,0.00000000000000000000 + j0.18771330264464372584 
5.97609999999999974563 GHz,0.00047937294135300677 - j0.04378655006957188345 ,0.00000000000000000000 + j0.18774471857117960849 
5.97710000000000007958 GHz,0.00047913779113321046 - j0.04377581057513326573 ,0.00000000000000000000 + j0.18777613449771551890 
5.97810000000000041354 GHz,0.00047890282638617647 - j0.04376507691787580312 ,0.00000000000000000000 + j0.18780755042425140156 
5.97909999999999985931 GHz,0.00047866804690846606 - j0.04375434909280142420 ,0.00000000000000000000 + j0.18783896635078731197 
5.98010000000000019327 GHz,0.00047843345249692736 - j0.04374362709491796258 ,0.00000000000000000000 + j0.18787038227732322238 
5.98109999999999963904 GHz,0.00047819904294869360 - j0.04373291091923904583 ,0.00000000000000000000 + j0.18790179820385907727 
5.98209999999999997300 GHz,0.00047796481806118346 - j0.04372220056078410938 ,0.00000000000000000000 + j0.18793321413039498768 
5.98310000000000030695 GHz,0.00047773077763209912 - j0.04371149601457835487 ,0.00000000000000000000 + j0.18796463005693092585 
5.98409999999999975273 GHz,0.00047749692145942720 - j0.04370079727565281957 ,0.00000000000000000000 + j0.18799604598346678075 
5.98510000000000008669 GHz,0.00047726324934143819 - j0.04369010433904433471 ,0.00000000000000000000 + j0.18802746191000269116 
5.98610000000000042064 GHz,0.00047702976107668558 - j0.04367941719979548387 ,0.00000000000000000000 + j0.18805887783653860157 
5.98709999999999986642 GHz,0.00047679645646400443 - j0.04366873585295458216 ,0.00000000000000000000 + j0.18809029376307448422 
5.98810000000000020037 GHz,0.00047656333530251275 - j0.04365806029357575946 ,0.00000000000000000000 + j0.18812170968961039463 
5.98909999999999964615 GHz,0.00047633039739160976 - j0.04364739051671887027 ,0.00000000000000000000 + j0.18815312561614630504 
5.99009999999999998010 GHz,0.00047609764253097637 - j0.04363672651744952141 ,0.00000000000000000000 + j0.18818454154268218770 
5.99110000000000031406 GHz,0.00047586507052057268 - j0.04362606829083901655 ,0.00000000000000000000 + j0.18821595746921809811 
5.99209999999999975984 GHz,0.00047563268116064100 - j0.04361541583196446026 ,0.00000000000000000000 + j0.18824737339575395301 
5.99310000000000009379 GHz,0.00047540047425170064 - j0.04360476913590857068 ,0.00000000000000000000 + j0.18827878932228986342 
5.99410000000000042775 GHz,0.00047516844959455238 - j0.04359412819775983911 ,0.00000000000000000000 + j0.18831020524882577383 
5.99509999999999987352 GHz,0.00047493660699027485 - j0.04358349301261246755 ,0.00000000000000000000 + j0.18834162117536165648 
5.99610000000000020748 GHz,0.00047470494624022452 - j0.04357286357556631323 ,0.00000000000000000000 + j0.18837303710189756689 
5.99709999999999965326 GHz,0.00047447346714603599 - j0.04356223988172690242 ,0.00000000000000000000 + j0.18840445302843347730 
5.99809999999999998721 GHz,0.00047424216950962161 - j0.04355162192620551376 ,0.00000000000000000000 + j0.18843586895496935996 
5.99910000000000032117 GHz,0.00047401105313316913 - j0.04354100970411899085 ,0.00000000000000000000 + j0.18846728488150527037 
6.00009999999999976694 GHz,0.00047378011781914385 - j0.04353040321058989498 ,0.00000000000000000000 + j0.18849870080804118078 
6.00110000000000010090 GHz,0.00047354936337028761 - j0.04351980244074645648 ,0.00000000000000000000 + j0.18853011673457706343 
6.00210000000000043485 GHz,0.00047331878958961491 - j0.04350920738972247764 ,0.00000000000000000000 + j0.18856153266111297384 
6.00309999999999988063 GHz,0.00047308839628041770 - j0.04349861805265743675 ,0.00000000000000000000 + j0.18859294858764888425 
6.00410000000000021458 GHz,0.00047285818324626191 - j0.04348803442469646036 ,0.00000000000000000000 + j0.18862436451418473915 
6.00509999999999966036 GHz,0.00047262815029098604 - j0.04347745650099021919 ,0.00000000000000000000 + j0.18865578044072064956 
6.00609999999999999432 GHz,0.00047239829721870447 - j0.04346688427669508775 ,0.00000000000000000000 + j0.18868719636725653221 
6.00710000000000032827 GHz,0.00047216862383380208 - j0.04345631774697294308 ,0.00000000000000000000 + j0.18871861229379244262 
6.00809999999999977405 GHz,0.00047193912994093794 - j0.04344575690699129661 ,0.00000000000000000000 + j0.18875002822032835303 
6.00910000000000010800 GHz,0.00047170981534504349 - j0.04343520175192331495 ,0.00000000000000000000 + j0.18878144414686423569 
6.01010000000000044196 GHz,0.00047148067985132051 - j0.04342465227694758401 ,0.00000000000000000000 + j0.18881286007340014610 
6.01109999999999988773 GHz,0.00047125172326524317 - j0.04341410847724840733 ,0.00000000000000000000 + j0.18884427599993605651 
6.01210000000000022169 GHz,0.00047102294539255561 - j0.04340357034801556324 ,0.00000000000000000000 + j0.18887569192647193916 
6.01309999999999966747 GHz,0.00047079434603927240 - j0.04339303788444440202 ,0.00000000000000000000 + j0.18890710785300784957 
6.01410000000000000142 GHz,0.00047056592501167847 - j0.04338251108173582504 ,0.00000000000000000000 + j0.18893852377954375998 
6.01510000000000033538 GHz,0.00047033768211632803 - j0.04337198993509628481 ,0.00000000000000000000 + j0.18896993970607961488 
6.01609999999999978115 GHz,0.00047010961716004287 - j0.04336147443973769472 ,0.00000000000000000000 + j0.18900135563261552529 
6.01710000000000011511 GHz,0.00046988172994991546 - j0.04335096459087756787 ,0.00000000000000000000 + j0.18903277155915143570 
6.01809999999999956088 GHz,0.00046965402029330470 - j0.04334046038373889909 ,0.00000000000000000000 + j0.18906418748568731836 
6.01909999999999989484 GHz,0.00046942648799783718 - j0.04332996181355015797 ,0.00000000000000000000 + j0.18909560341222322877 
6.02010000000000022879 GHz,0.00046919913287140730 - j0.04331946887554534442 ,0.00000000000000000000 + j0.18912701933875911142 
6.02109999999999967457 GHz,0.00046897195472217474 - j0.04330898156496390539 ,0.00000000000000000000 + j0.18915843526529502183 
6.02210000000000000853 GHz,0.00046874495335856743 - j0.04329849987705082504 ,0.00000000000000000000 + j0.18918985119183093224 
6.02310000000000034248 GHz,0.00046851812858927753 - j0.04328802380705653458 ,0.00000000000000000000 + j0.18922126711836681490 
6.02409999999999978826 GHz,0.00046829148022326271 - j0.04327755335023691224 ,0.00000000000000000000 + j0.18925268304490272531 
6.02510000000000012221 GHz,0.00046806500806974597 - j0.04326708850185328331 ,0.00000000000000000000 + j0.18928409897143863572 
6.02609999999999956799 GHz,0.00046783871193821432 - j0.04325662925717247559 ,0.00000000000000000000 + j0.18931551489797449062 
6.02709999999999990195 GHz,0.00046761259163841833 - j0.04324617561146665984 ,0.00000000000000000000 + j0.18934693082451040103 
6.02810000000000023590 GHz,0.00046738664698037349 - j0.04323572756001359263 ,0.00000000000000000000 + j0.18937834675104631144 
6.02909999999999968168 GHz,0.00046716087777435677 - j0.04322528509809628328 ,0.00000000000000000000 + j0.18940976267758219409 
6.03010000000000001563 GHz,0.00046693528383090829 - j0.04321484822100323669 ,0.00000000000000000000 + j0.18944117860411810450 
6.03110000000000034959 GHz,0.00046670986496083125 - j0.04320441692402841871 ,0.00000000000000000000 + j0.18947259453065401491 
6.03209999999999979536 GHz,0.00046648462097518932 - j0.04319399120247109647 ,0.00000000000000000000 + j0.18950401045718989756 
6.03310000000000012932 GHz,0.00046625955168530812 - j0.04318357105163599802 ,0.00000000000000000000 + j0.18953542638372580798 
6.03409999999999957510 GHz,0.00046603465690277376 - j0.04317315646683318048 ,0.00000000000000000000 + j0.18956684231026169063 
6.03509999999999990905 GHz,0.00046580993643943286 - j0.04316274744337813413 ,0.00000000000000000000 + j0.18959825823679760104 
6.03610000000000024301 GHz,0.00046558539010739281 - j0.04315234397659169913 ,0.00000000000000000000 + j0.18962967416333351145 
6.03709999999999968878 GHz,0.00046536101771901958 - j0.04314194606180005859 ,0.00000000000000000000 + j0.18966109008986936635 
6.03810000000000002274 GHz,0.00046513681908693803 - j0.04313155369433473857 ,0.00000000000000000000 + j0.18969250601640527676 
6.03910000000000035669 GHz,0.00046491279402403272 - j0.04312116686953269135 ,0.00000000000000000000 + j0.18972392194294118717 
6.04009999999999980247 GHz,0.00046468894234344622 - j0.04311078558273612193 ,0.00000000000000000000 + j0.18975533786947706982 
6.04110000000000013642 GHz,0.00046446526385857752 - j0.04310040982929257136 ,0.00000000000000000000 + j0.18978675379601298023 
6.04209999999999958220 GHz,0.00046424175838308512 - j0.04309003960455495136 ,0.00000000000000000000 + j0.18981816972254889064 
6.04309999999999991616 GHz,0.00046401842573088334 - j0.04307967490388147497 ,0.00000000000000000000 + j0.18984958564908477330 
6.04410000000000025011 GHz,0.00046379526571614231 - j0.04306931572263562880 ,0.00000000000000000000 + j0.18988100157562068371 
6.04509999999999969589 GHz,0.00046357227815328967 - j0.04305896205618624933 ,0.00000000000000000000 + j0.18991241750215659412 
6.04610000000000002984 GHz,0.00046334946285700749 - j0.04304861389990739806 ,0.00000000000000000000 + j0.18994383342869244902 
6.04710000000000036380 GHz,0.00046312681964223403 - j0.04303827124917849328 ,0.00000000000000000000 + j0.18997524935522838718 
6.04809999999999980957 GHz,0.00046290434832416192 - j0.04302793409938419911 ,0.00000000000000000000 + j0.19000666528176424208 
6.04910000000000014353 GHz,0.00046268204871823736 - j0.04301760244591443932 ,0.00000000000000000000 + j0.19003808120830015249 
6.05009999999999958931 GHz,0.00046245992064016228 - j0.04300727628416441822 ,0.00000000000000000000 + j0.19006949713483606290 
