freq, current
254.009999999999990905 MHz,0.01769169430444539684 - j0.12276371292928123236 
255.009999999999990905 MHz,0.01755600926055114058 - j0.12230177749621977401 
256.009999999999990905 MHz,0.01742186863151875403 - j0.12184322994468588242 
257.009999999999990905 MHz,0.01728924922783361615 - j0.12138803403181921969 
258.009999999999990905 MHz,0.01715812829054168265 - j0.12093615401555500577 
259.009999999999990905 MHz,0.01702848348176954490 - j0.12048755464629820611 
260.009999999999990905 MHz,0.01690029287546992998 - j0.12004220115875462171 
261.009999999999990905 MHz,0.01677353494841305262 - j0.11960005926391766018 
262.009999999999990905 MHz,0.01664818857139920005 - j0.11916109514120677704 
263.009999999999990905 MHz,0.01652423300069548809 - j0.11872527543075445111 
264.009999999999990905 MHz,0.01640164786968340699 - j0.11829256722583803008 
265.009999999999990905 MHz,0.01628041318072399532 - j0.11786293806545537766 
266.009999999999990905 MHz,0.01616050929721478749 - j0.11743635592703834114 
267.009999999999990905 MHz,0.01604191693584922432 - j0.11701278921930508004 
268.009999999999990905 MHz,0.01592461715907119921 - j0.11659220677524438636 
269.009999999999990905 MHz,0.01580859136770747936 - j0.11617457784523166353 
270.009999999999990905 MHz,0.01569382129378952065 - j0.11575987209027399638 
271.009999999999990905 MHz,0.01558028899354443886 - j0.11534805957538009358 
272.009999999999990905 MHz,0.01546797684056200502 - j0.11493911076305443619 
273.009999999999990905 MHz,0.01535686751912547152 - j0.11453299650691085854 
274.009999999999990905 MHz,0.01524694401770476312 - j0.11412968804540522816 
275.009999999999990905 MHz,0.01513818962260883756 - j0.11372915699568429682 
276.009999999999990905 MHz,0.01503058791178550624 - j0.11333137534754623987 
277.009999999999990905 MHz,0.01492412274877929178 - j0.11293631545751443845 
278.009999999999990905 MHz,0.01481877827682384109 - j0.11254395004301886996 
279.009999999999990905 MHz,0.01471453891308422031 - j0.11215425217668403834 
280.009999999999990905 MHz,0.01461138934303135226 - j0.11176719528072216747 
281.009999999999990905 MHz,0.01450931451494872661 - j0.11138275312142807694 
282.009999999999990905 MHz,0.01440829963457435949 - j0.11100089980377476906 
283.009999999999990905 MHz,0.01430833015986470412 - j0.11062160976610635466 
284.009999999999990905 MHz,0.01420939179588330027 - j0.11024485777492891436 
